"Section","Report Title","URL","display_order"
"Fiscal Analysis Reports to Council 2012","12-12-14: Gaming Tax Revenue through October 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20through%20October%202012.pdf",25
"Fiscal Analysis Reports to Council 2012","12-12-04: Budget Amendment $28 Pension Shortfall","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Budget%20Amendment%202011-12%20$28M%20Pension%20Shortfall.pdf",26
"Fiscal Analysis Reports to Council 2012","12-11-14: Detroit Burgers, Inc PA 255 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Detroit%20Burgers,%20Inc.%20PA%20255%20Tax%20Abatement.pdf",27
"Fiscal Analysis Reports to Council 2012","12-11-02: City Gift Policy","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/City%20Gift%20Policy.pdf",28
"Fiscal Analysis Reports to Council 2012","12-10-30: Gaming Tax Revenue through September 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20through%20September%202012.pdf",29
"Fiscal Analysis Reports to Council 2012","12-10-17: Human Services Contracts #2849828 & #2849834","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Human%20Services%20Contracts%202849828%20and%202849834.pdf",30
"Fiscal Analysis Reports to Council 2012","12-10-17: Detroit Manufacturing Systems PA 198 & 328 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Woodward%20SA-PK%20LLC%204-26-12.pdf",31
"Fiscal Analysis Reports to Council 2012","12-10-15: State Senate Bill 1301 Amendment to Port Authority Act","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Port%20Authority%20Legislation%2010_2012.pdf",32
"Fiscal Analysis Reports to Council 2012","12-10-11: Milton Manufacturing PA 198 Amendment Update","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Milton%20Manufacturing%20PA%20198%20Amendment.pdf",33
"Fiscal Analysis Reports to Council 2012","12-10-10: Sherbrooke Land Development PA 146 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Sherbrooke%20Land%20Development%20PA%20146%20Tax%20Abatement.pdf",34
"Fiscal Analysis Reports to Council 2012","12-10-10: Chrysler PA 198 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Chrysler%20PA%20198%20Tax%20Abatement.pdf",35
"Fiscal Analysis Reports to Council 2012","12-10-09: Report on Gaming Tax Revenue through August 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20Through%20August%202012.pdf",36
"Fiscal Analysis Reports to Council 2012","12-10-01: DIB Land PA 146 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/DIB%20Land%20PA%20146%20Tax%20Abatement.pdf",37
"Fiscal Analysis Reports to Council 2012","12-09-26: Whitney Partner's PA 146 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Whitney%20Partners%20PA%20146%20Tax%20Abatement.pdf",38
"Fiscal Analysis Reports to Council 2012","12-09-20: Report on Gaming Tax Revenue through July 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20Through%20July%202012.pdf",39
"Fiscal Analysis Reports to Council 2012","12-09-19: Avalon International PA 198 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Avalon%20International%20PA%20198%20Tax%20AbatementCC.pdf",40
"Fiscal Analysis Reports to Council 2012","12-09-19: Anew Life Properties PA 198 Tax Abatemen","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Anew%20Life%20Properties%20PA%20146%20Tax%20Abatement.pdf",41
"Fiscal Analysis Reports to Council 2012","Anew Life Properties PA 146 Tax Abatement.pdf","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Anew%20Life%20Properties%20PA%20146%20Tax%20Abatement.pdf",42
"Fiscal Analysis Reports to Council 2012","12-09-19 Eastern Market Corp Management & Operating Agreement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Eastern%20Market%20Corp%20Management%20Agreement.pdf",43
"Fiscal Analysis Reports to Council 2012","12-09-17: Proposed Belle Isle Lease Agreement Between the City & the State","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Proposed%20Belle%20Isle%20Lease%20Agreement%20with%20the%20State.pdf",44
"Fiscal Analysis Reports to Council 2012","12-08-01: Gaming Tax Revenue Through June 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20Through%20June%202012.pdf",45
"Fiscal Analysis Reports to Council 2012","12-07-30: Funding for DWDD's Summer Youth Employment 2012 UPDATE","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Funding%20for%20DWDD's%20Summer%20Youth%20Employment%20UPDAT.pdf",46
"Fiscal Analysis Reports to Council 2012","12-07-18: Dearborn Mid-West Conveyer PA 198 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Dearborn%20Mid-West%20Conveyer%20PA%20198%20Abatement.pdf",47
"Fiscal Analysis Reports to Council 2012","12-07-11: Quicken Loans' PA 328 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Quicken%20Loans'%20PA%20328%20Abatement%20Request.pdf",48
"Fiscal Analysis Reports to Council 2012","12-06-26: Proposed Gaming Expansion in Det & Mi 'Michigan is Yours'","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Proposed%20Gaming%20Expansion%20in%20Det%20and%20MI%20MI%20is%20Yours.pdf",49
"Fiscal Analysis Reports to Council 2012","12-06-26: Proposed Gaming Expansion in Det & Mi 'Citizens for Mi Jobs'","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Proposed%20Gaming%20Expansion%20in%20Detroit%20and%20Michigan%20Citizens%20for%20More%20Jobs.pdf",50
"Fiscal Analysis Reports to Council 2012","12-06-14: Gaming Tax Revenue Through May 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20through%20May%202012.pdf",51
"Fiscal Analysis Reports to Council 2012","12-06-06: Fort Shelby Hotel LLC Application to Amend","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Fort%20Shelby%20Hotel%20LLC%20Ap%20to%20Amend%206-6-12.pdf",52
"Fiscal Analysis Reports to Council 2012","12-05-24: Schedule B and Itemization of Council Changes","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Schedule%20B%20and%20Itemization%205-24-2012.pdf",53
"Fiscal Analysis Reports to Council 2012","12-05-22: Gaming Tax Revenue through April 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20through%20April%202012.pdf",54
"Fiscal Analysis Reports to Council 2012","12-05-16: Union Rec to Council to Address Fiscal Crisis","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Union%20Recommendations%20to%20Address%20Fiscal%20Crisis.pdf",55
"Fiscal Analysis Reports to Council 2012","12-05-08: Prelim. Rev. 2012-13 Mayor's Proposed Budget","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Preliminary%20Review%20of%20the%202012-13%20Mayor's%20Budget.pdf",56
"Fiscal Analysis Reports to Council 2012","12-05-07: Budget Dept Qtrly Fin Rpt per end 12/31/11 Pt 2","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Pt%202%20of%20Budget%20Dept.%20Qtrly%20Fin%20Rpt%20for%20per%20ending%2012-31-11.pdf",57
"Fiscal Analysis Reports to Council 2012","12-05-07: Budget Dept Qtrly Fin Rpt per end 12/31/11 Pt 1","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Pt%201%20of%20Budget%20Dept.%20Qtrly%20Fin%20Rpt%20for%20per%20ending%2012-31-11.pdf",58
"Fiscal Analysis Reports to Council 2012","12-05-01: Fiscal Analysis Div. Proposed 2012-13 Budget","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Fiscal%20Analysis%20Proposed%202012-13%20Budget.pdf",59
"Fiscal Analysis Reports to Council 2012","12-04-30: Revenue Consensus for 2012-13 Gen Fund Rev","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Revenue%20Consensus%20for%202012-13%20General%20Fund%20Revenues.pdf",60
"Fiscal Analysis Reports to Council 2012","12-04-26: Woodward SA-PK LLC PA 146 of 2000","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Woodward%20SA-PK%20LLC%204-26-12.pdf",61
"Fiscal Analysis Reports to Council 2012","12-04-23: Overtime Reports through March 31, 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Overtime%20Report%20through%20March%2031%202012.pdf",62
"Fiscal Analysis Reports to Council 2012","12-04-20: Gaming Tax Revenue through March 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20through%20March%202012.pdf",63
"Fiscal Analysis Reports to Council 2012","12-04-09: Gateway Commercial Project Authorization","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Gateway%20Commercial%20Proj%20Authorization%204-9-12.pdf",64
"Fiscal Analysis Reports to Council 2012","12-04-03: Gaming Tax Revenue through February 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Gaming%20Tax%20Revenue%20through%20February%202012.pdf",65
"Fiscal Analysis Reports to Council 2012","12-03-29: Woodward SA-ZK, LLC PA 210 of 2005","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Woodward%20SA-ZK,%20LLC%20PA%20210%20of%202005%203-29-12.pdf",66
"Fiscal Analysis Reports to Council 2012","12-03-19: Review DFFA Tentative Agreement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/DFFA%20Tentative%20Agreement%20Review_2.pdf",67
"Fiscal Analysis Reports to Council 2012","12-03-07: Reductions to Council's 2011-12 Budget","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Reductions%20to%20Councils%2011-12%20Budget.pdf",68
"Fiscal Analysis Reports to Council 2012","12-02-29: Gaming Tax Revenue through January 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20Through%20January%202012.pdf",69
"Fiscal Analysis Reports to Council 2012","12-02-21: Review of the 2011 CAFR for the City of Detroit","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Review%20of%20the%202011%20CAFR%20for%20the%20City%20of%20Detroit.pdf",70
"Fiscal Analysis Reports to Council 2012","12-02-20: Review of Tentative Bargaining Agreements","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Review%20of%20Tentative%20Bargaining%20Agreements.pdf",71
"Fiscal Analysis Reports to Council 2012","12-02-08: Update on 2011-12 Pension Funding Question","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Update%20on%202011-12%20Budget%20Pension%20Funding%20Question%20Problem.pdf",72
"Fiscal Analysis Reports to Council 2012","12-02-08: Qtly Fin.l Rpt. for Period Ending 9-30-11","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Pt%201%20of%20Budget%20Dept.%20Qtrly%20Fin%20Rpt%20for%20per%20ending%2012-31-11.pdf",73
"Fiscal Analysis Reports to Council 2012","12-02-08: 5716 Partners, LLC, PA 210 of 2005","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/5716%20Partners,%20LLC%20PA%20210%20of%202005.pdf",74
"Fiscal Analysis Reports to Council 2012","12-02-01: Status of MI Allocation of $7.8 B ARRA Allocation","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/City%20of%20Detroit%20Head%20Start.pdf",75
"Fiscal Analysis Reports to Council 2012","12-02-01: Detroit Head Start response to Finance","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Detroit%20Head%20Start%20response%20from%20Finance%202-1-12.pdf",76
"Fiscal Analysis Reports to Council 2012","12-01-26: City of Detroit Head Start","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/City%20of%20Detroit%20Head%20Start.pdf",77
"Fiscal Analysis Reports to Council 2012","12-01-25: Power Panel PA 328 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Power%20Panel%20PA%20328%20Tax%20Abatement.pdf",78
"Fiscal Analysis Reports to Council 2012","12-01-20: Gaming Tax Revenue through December 2011","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20through%20December%202011.pdf",79
"Fiscal Analysis Reports to Council 2011","11-11-21: Proposed Pension Ordinance Amend. DGRS","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Proposed%20Pension%20Ordinance%20Amendment%20-%20GRS%2011-21-11.pdf",80
"Fiscal Analysis Reports to Council 2011","11-11-21: Plan to Address Cash Crisis & Structural Deficit","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Plan%20to%20Address%20Cash%20Crisis%20and%20Structural%20Deficit.pdf",81
"Fiscal Analysis Reports to Council 2011","11-11-21: 2011-12 Budget Presentation as Amended","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/2011-2012%20Budget%20Presentation%20as%20Amended%2011-21-11.pdf",82
"Fiscal Analysis Reports to Council 2011","11-11-17: American Axle & Manufacturing Application","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/American%20Axle%20Renaissance%20Zone%20Extension%2011-17-11.pdf",83
"Fiscal Analysis Reports to Council 2011","11-10-26: Madison Theatre Bldg LLC","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Madison%20Theater%20Building%20LLC%2010-26-11.pdf",84
"Fiscal Analysis Reports to Council 2011","11-10-26: Euclid Manufacturing LLC","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Euclid%20Manufacturing%20LLC%2010-26-11.pdf",85
"Fiscal Analysis Reports to Council 2011","11-10-25: Gaming Tax Revenue through Sept 2011","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Report%20on%20Gaming%20Tax%20Revenue%20through%20Sept%202011.pdf",86
"Fiscal Analysis Reports to Council 2011","11-10-21: Quicken Loans Inc PA 328 of 1998","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Quicken%20Loans,%20Inc%2010-21-11.pdf",87
"Fiscal Analysis Reports to Council 2011","11-10-19: NSO Bell Commercial Building, LLC","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/NSO%20Bell%20Commercial%20Building%2010-19-11.pdf",88
"Fiscal Analysis Reports to Council 2011","11-10-19: GDRRA's 'Due to the City of Detroit' Payable","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/GDRRA%20Due%20to%20Detroit%20Payable%20Issue%2010-19-11.pdf",89
"Fiscal Analysis Reports to Council 2011","11-10-19: Eastern Market Tailgating MPD Response","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Eastern%20Market%20Tailgating%20MPD%20Response%2010-19-11.pdf",90
"Fiscal Analysis Reports to Council 2011","11-10-17: Analysis of H Clark's Detroit Jobs Trust Fund","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/H%20Clarke%20Detroit%20Jobs%20Trust%20Fund%2010-17-11.pdf",91
"Fiscal Analysis Reports to Council 2011","11-10-12: Griswold Holdings, LLC PA 146 of 200","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Griswold%20Holdings%20LLC%2010-12-11.pdf",92
"Fiscal Analysis Reports to Council 2011","11-10-12: Eastern Market Tailgating","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Eastern%20Market%20Tailgating.pdf",93
"Fiscal Analysis Reports to Council 2011","11-10-12: Brentwood Detroit, LLC PA 146 of 200","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Brentwood%20Detroit%20LLC%2010-12-11.pdf",94
"Fiscal Analysis Reports to Council 2011","11-10-11: FY 2010-11 OT Expenditures & Employee Counts","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/FY%202010-11%20OT%20Expenditures%20and%20Employee%20Counts.pdf",95
"Fiscal Analysis Reports to Council 2011","11-10-11: Elevator RDR, LLC, MI PA 210 Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Elevator%20RDR%20LLC%2010-11-11.pdf",96
"Fiscal Analysis Reports to Council 2011","11-10-06: Budget Dept Qtrly Fin Rept for Period End 6-30-11","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Budget%20Dept%20Qtrly%20Fin%20Rpt%20for%20Period%20Ending%206-30-11.pdf",97
"Fiscal Analysis Reports to Council 2011","11-10-05: DRSN Real Estate LLC PA 146 of 2000","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/DRSN%20Real%20Estate%20LLC%2010-5-11.pdf",98
"Fiscal Analysis Reports to Council 2011","11-09-30: Fiscal Impact of Suspending BRF Days for DDOT","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Impact%20of%20BRF%20Days%20for%20DDOT%209-30-11.pdf",99
"Fiscal Analysis Reports to Council 2011","11-09-28: URBCAMCOM/WSU 1, LLC MI PA 210","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/URBCAMCOM-WSU%201%20LLC%209-28-11.pdf",100
"Fiscal Analysis Reports to Council 2011","11-09-28: Uncle Ray's LLC MI Public Act 198 Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Uncle%20Ray's%20LLC%209-28-11.pdf",101
"Fiscal Analysis Reports to Council 2011","11-09-28: Budget Required Furlough vs OT Analysis","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Budget%20Required%20Furlough%20vs%20Overtime%20Analysis.pdf",102
"Fiscal Analysis Reports to Council 2011","11-09-16: Gaming Tax Revenue through August 2011","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Report%20on%20Gaming%20Tax%20Revenue%20through%20August%202011.pdf",103
"Fiscal Analysis Reports to Council 2011","11-09-07: Parking Meters","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Parking%20Meters%209-7-11.pdf",104
"Fiscal Analysis Reports to Council 2010","10-05-14: Revised Budget Calendar","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2010/Revised%20Budget%20Calendar%202010-11.pdf",105
"Fiscal Analysis Reports to Council 2011","11-08-19: Gaming Tax Revenue through July 2011","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2011/Report%20on%20Gaming%20Tax%20Revenue%20through%20July%202011.pdf",106
